year cost
     1988.00   8879400.46
     1988.00  23015236.93
     1988.00  83561953.64
     1988.00  83561953.64
     1988.00  15161633.19
     1988.00  18339814.79
     1988.00  33274829.81
     1988.00    554287.88
     1988.00   6800495.79
     1988.00  14927211.81
     1988.00   5360803.91
     1988.00  10322993.95
     1988.00  11217111.53
     1988.00  42136071.55
     1988.00  16282368.94
     1988.00  29467839.69
     1988.00  70435332.08
     1988.00  75760371.28
     1988.00   8453475.36
     1988.00  36482322.21
     1988.00  36482322.21
     1988.00  57094447.43
     1988.00  22759356.73
     1988.00  27652293.29
     1988.00  29078329.56
     1988.00  56212359.79
     1988.00  88943566.10
     1988.00  97540100.27
     1988.00  12112529.65
     1988.00  34318183.75
     1988.00   5494758.98
     1988.00  97738204.22
     1988.00  12112529.65
     1988.00  93000632.78
     1988.00  14631015.04
     1988.00   9777094.52
     1988.00  33168836.23
     1988.00  16537598.87
     1988.00  27768040.88
     1989.00   1571191.77
     1989.00  14359662.49
     1989.00   4327216.68
     1989.00   2034822.13
     1989.00   7519826.84
     1989.00   6850138.55
     1989.00   5948635.07
     1989.00   7519826.84
     1989.00   6850138.55
     1989.00  20966395.10
     1989.00  27689035.30
     1989.00   5331749.12
     1989.00   5898408.45
     1989.00   8680190.60
     1989.00   8474132.67
     1989.00   8886248.54
     1989.00  13651338.34
     1989.00   4842361.52
     1989.00   6439310.54
     1989.00  13239222.46
     1989.00  13084679.01
     1989.00  25461033.86
     1989.00  12093025.19
     1989.00   4327216.68
     1989.00  47285145.13
     1989.00   7083241.59
     1989.00   3976918.19
     1989.00  14089211.45
     1989.00   3528742.17
     1989.00    205027.65
     1989.00   8955793.09
     1989.00  11939512.02
     1989.00  10642892.45
     1989.00   6977636.90
     1989.00   8476708.39
     1989.00  14977321.16
     1989.00   4172673.23
     1989.00   4352973.92
     1989.00   6928698.14
     1989.00   2498452.49
     1989.00   1787295.03
     1989.00  20334054.81
     1989.00  83755854.57
     1989.00   7522917.71
     1989.00  24057264.16
     1989.00  13792488.02
     1989.00  15911278.76
     1989.00  42202468.53
     1989.00   5092206.77
     1989.00   1174787.81
     1989.00  18348686.59
     1989.00   3526024.78
     1989.00  22155349.40
     1989.00   1772098.26
     1989.00   5151448.43
     1989.00  15056395.89
     1989.00  32642925.69
     1989.00  24434607.76
     1989.00   4512668.82
     1989.00   3622498.54
     1989.00   1443435.85
     1989.00   7090196.04
     1989.00  18081583.98
     1989.00  21095181.32
     1989.00   3837829.08
     1989.00   3837829.08
     1989.00   1854521.43
     1989.00  10586226.52
     1989.00   4430245.65
     1989.00   2421180.76
     1989.00   6954455.38
     1989.00    515144.84
     1989.00  14907003.89
     1989.00   5331749.12
     1989.00   2645268.77
     1989.00  14063454.21
     1989.00  33832137.56
     1989.00  17205837.75
     1989.00  46234249.65
     1989.00   4868118.77
     1989.00  16407363.25
     1989.00  11616516.21
     1989.00   8497314.18
     1989.00  12172872.64
     1989.00   5188796.43
     1989.00   1030289.69
     1989.00   9530179.59
     1989.00   9040791.99
     1989.00  24482258.66
     1989.00    916957.82
     1989.00   6954455.38
     1989.00   3101171.95
     1989.00    491963.32
     1989.00  14237315.59
     1989.00  37184700.19
     1989.00   2612814.64
     1989.00  19158751.85
     1989.00   6877183.65
     1989.00  28934913.11
     1989.00   8654433.36
     1989.00  15283059.63
     1989.00  12866772.74
     1989.00  15001275.40
     1989.00  17661740.94
     1989.00  30518725.93
     1989.00  19610533.88
     1989.00   1721614.06
     1989.00   3174837.67
     1989.00   2804706.10
     1989.00  12732577.51
     1989.00  32582911.31
     1989.00   8136712.79
     1989.00   1784976.88
     1989.00   2549966.97
     1989.00  12749834.86
     1989.00  33149570.64
     1989.00   4636303.59
     1989.00   1030289.69
     1989.00   4275702.20
     1989.00   4404488.41
     1989.00   4893876.01
     1989.00   7913268.72
     1989.00   3837829.08
     1989.00   3837829.08
     1989.00   5048419.46
     1989.00   8963520.27
     1989.00  24160293.13
     1989.00   9787752.01
     1989.00   5462080.77
     1989.00   2575724.21
     1989.00   9844417.95
     1989.00   9895417.29
     1989.00   6148253.70
     1989.00   1506798.67
     1989.00   1506798.67
     1989.00   1506798.67
     1989.00   1506798.67
     1989.00   1674220.74
     1989.00   4641455.03
     1989.00   5962801.56
     1989.00   4842361.52
     1989.00  11565001.72
     1989.00  20142163.36
     1989.00  10277139.62
     1989.00   6362038.81
     1989.00   1030289.69
     1989.00   1030289.69
     1989.00  29620828.46
     1989.00   8886248.54
     1989.00   5924165.69
     1989.00  22466754.46
     1989.00 126649647.48
     1989.00   8886248.54
     1989.00   2163608.34
     1989.00   6199768.18
     1989.00   5608639.48
     1989.00  10946827.91
     1989.00  20605793.71
     1989.00   3065111.82
     1989.00   2730267.67
     1989.00  11693787.93
     1989.00  24675437.97
     1989.00  11693787.93
     1989.00   6233252.60
     1989.00   7598386.43
     1989.00   2266637.31
     1989.00   6902940.89
     1989.00   4095401.50
     1989.00    772717.26
     1989.00  13007407.28
     1989.00   3193898.03
     1989.00  14398298.36
     1989.00  14398298.36
     1989.00  29517799.50
     1989.00  14284966.49
     1989.00  38562455.07
     1989.00  37588831.32
     1989.00  18182037.23
     1989.00  10657574.08
     1989.00  25265278.82
     1989.00  17332305.81
     1989.00  13122542.15
     1989.00   2572633.35
     1989.00   2369666.28
     1989.00   7687506.49
     1989.00   8474132.67
     1989.00   4301459.44
     1989.00   4172673.23
     1989.00  10818041.70
     1989.00   5512049.82
     1989.00   3425713.21
     1989.00  17386138.45
     1989.00   3554499.42
     1989.00  13084679.01
     1989.00   8474132.67
     1989.00  23645148.29
     1989.00   9169578.20
     1989.00    710899.88
     1989.00   3143928.98
     1989.00  16767964.64
     1989.00   3343805.18
     1989.00   1416648.32
     1989.00   5679471.89
     1989.00  19317931.61
     1989.00  18364913.65
     1989.00     64908.25
     1989.00    173088.67
     1989.00   9581694.08
     1989.00  23278622.73
     1989.00  20477007.50
     1989.00   1493920.04
     1989.00   6459916.33
     1989.00   6052951.90
     1989.00  80313656.73
     1989.00   1030289.69
     1989.00   4378731.16
     1989.00  11848331.39
     1989.00   2163608.34
     1989.00   5795379.48
     1989.00  12028632.08
     1989.00  23233032.41
     1989.00  25731484.90
     1989.00  12543776.92
     1989.00   5022662.22
     1989.00   5512049.82
     1989.00   9092306.48
     1989.00  10174110.65
     1989.00   3351017.20
     1989.00   6104466.39
     1989.00   4327216.68
     1989.00  11848331.39
     1989.00   6516582.26
     1989.00  29234469.83
     1989.00  25615577.31
     1989.00  10586226.52
     1989.00  24198928.99
     1989.00   4430245.65
     1989.00  18622486.07
     1989.00  16021004.61
     1989.00  12955892.80
     1989.00  30895811.95
     1989.00  12054389.32
     1989.00  12054389.32
     1989.00   4739332.55
     1989.00    439676.12
     1989.00    125180.20
     1989.00   9054958.48
     1989.00   3837829.08
     1989.00   3837829.08
     1989.00   6181738.11
     1989.00   2305273.17
     1989.00   4033584.12
     1989.00   1030289.69
     1989.00  28822353.96
     1989.00  13496794.88
     1989.00   2498452.49
     1989.00   3193898.03
     1989.00   9092306.48
     1989.00   8242317.49
     1989.00  23284546.90
     1989.00   8680190.60
     1989.00   5795379.48
     1989.00   5795379.48
     1989.00  15660403.22
     1989.00   8912005.78
     1989.00    901503.48
     1989.00  13677095.58
     1989.00    772717.26
     1989.00  17128566.03
     1989.00  10818041.70
     1989.00  12002874.84
     1989.00  11461972.75
     1989.00   2962082.85
     1989.00  13084679.01
     1989.00  14398298.36
     1989.00   3915100.81
     1989.00   1699977.98
     1989.00   9555936.84
     1989.00  16304334.28
     1989.00   9719237.75
     1989.00   9419165.88
     1989.00  12736441.10
     1989.00  10359047.65
     1989.00   6278327.77
     1989.00   3837829.08
     1990.00  45046472.43
     1990.00  10196264.17
     1990.00   3301137.82
     1990.00   6829940.31
     1990.00  16928911.89
     1990.00  22377297.32
     1990.00   4047372.04
     1990.00  14224177.69
     1990.00   4125206.11
     1990.00   8289329.27
     1990.00   8289329.27
     1990.00  13601505.07
     1990.00  22367568.06
     1990.00  32223308.14
     1990.00  35239378.65
     1990.00  35239378.65
     1990.00  39714838.12
     1990.00  33001648.92
     1990.00    875633.37
     1990.00   4961922.45
